,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
46,46,37.0,0.2557685375213623,"[(0, 0.04709664), (2, 0.02422575), (3, 0.04885773), (9, 0.11483179), (12, 0.023834916), (25, 0.066486746), (26, 0.20500153), (35, 0.072306685), (37, 0.25576854), (38, 0.075345635), (39, 0.04938079)]"
47,47,4.0,0.2583021819591522,"[(2, 0.042945344), (4, 0.25830218), (9, 0.010708838), (20, 0.2383439), (21, 0.13350719), (26, 0.14714757), (27, 0.04209988), (29, 0.11861024)]"
48,48,22.0,0.2923847734928131,"[(0, 0.18745603), (12, 0.07001418), (16, 0.04998029), (22, 0.29238477), (23, 0.14446811), (33, 0.1957995), (35, 0.03976778)]"
49,49,17.0,0.39315304160118103,"[(9, 0.13257554), (10, 0.12099796), (16, 0.11102914), (17, 0.39315304), (26, 0.043470617), (34, 0.16476928)]"
50,50,17.0,0.4393739700317383,"[(9, 0.08643248), (17, 0.43937397), (18, 0.030086381), (21, 0.10446627), (24, 0.19225067), (29, 0.1231)]"
51,51,17.0,0.3623143136501312,"[(9, 0.122752234), (10, 0.11203374), (16, 0.102816336), (17, 0.3623143), (26, 0.040251736), (34, 0.22834606)]"
52,52,17.0,0.7040941119194031,"[(9, 0.077364385), (17, 0.7040941), (24, 0.12894453), (31, 0.06866286)]"
53,53,4.0,0.42428892850875854,"[(4, 0.42428893), (15, 0.019786818), (19, 0.026769497), (20, 0.1497213), (24, 0.092210144), (29, 0.16453671), (35, 0.048000894), (36, 0.020833207), (38, 0.038944494)]"
54,54,29.0,0.42791736125946045,"[(3, 0.110932425), (20, 0.071798444), (28, 0.022385204), (29, 0.42791736), (35, 0.3526202)]"
55,55,17.0,0.8828508257865906,"[(6, 0.028466204), (17, 0.8828508), (26, 0.06298547)]"
56,56,28.0,0.21813979744911194,"[(2, 0.085674204), (10, 0.046049625), (15, 0.093257986), (16, 0.026898665), (19, 0.19156699), (24, 0.106870145), (28, 0.2181398), (30, 0.04308906), (31, 0.07479311), (32, 0.023742465), (35, 0.07448549)]"
57,57,14.0,0.1805535852909088,"[(4, 0.049227748), (7, 0.024724627), (10, 0.122365616), (13, 0.16630575), (14, 0.18055359), (17, 0.16679393), (21, 0.109740466), (22, 0.037782665), (31, 0.086845465), (34, 0.020099029), (38, 0.021340176)]"
58,58,29.0,0.24870510399341583,"[(2, 0.1674207), (3, 0.05990391), (24, 0.18221977), (29, 0.24870509), (36, 0.06031893), (38, 0.2342022)]"
59,59,27.0,0.794455349445343,"[(14, 0.014740144), (16, 0.10035037), (27, 0.79445535), (31, 0.013510212), (34, 0.01998664), (38, 0.026307534)]"
60,60,24.0,0.5477297306060791,"[(13, 0.13170105), (15, 0.073609054), (18, 0.050358012), (24, 0.54772973), (26, 0.063670024), (38, 0.11592956)]"
61,61,24.0,0.8228643536567688,"[(0, 0.011080294), (7, 0.011011193), (17, 0.11223468), (24, 0.82286435), (31, 0.0117369015), (36, 0.021931363)]"
62,62,13.0,0.2606273293495178,"[(1, 0.047118764), (8, 0.083866656), (10, 0.24832623), (13, 0.26062733), (15, 0.04115082), (18, 0.05014594), (20, 0.03562674), (26, 0.06070394), (33, 0.024484284), (35, 0.075626455), (38, 0.06368968)]"
63,63,19.0,0.38121315836906433,"[(9, 0.038864758), (15, 0.02096441), (16, 0.19123532), (19, 0.38121316), (22, 0.04239163), (26, 0.11589993), (30, 0.023785202), (32, 0.03895892), (35, 0.09331291), (37, 0.038942814)]"
64,64,11.0,0.95753014087677,"[(11, 0.9575301), (14, 0.022256609)]"
65,65,4.0,0.4793972373008728,"[(2, 0.08087955), (4, 0.4793972), (8, 0.025912331), (10, 0.01350728), (22, 0.15689), (30, 0.23291749)]"
66,66,4.0,0.2412450611591339,"[(3, 0.15609361), (4, 0.24124505), (11, 0.049510136), (12, 0.080327466), (15, 0.035745587), (27, 0.046894055), (28, 0.034425456), (29, 0.018885877), (30, 0.11376052), (35, 0.08692383), (36, 0.11407023), (39, 0.013141537)]"
67,67,1.0,0.3623809516429901,"[(0, 0.16090788), (1, 0.36238095), (5, 0.082716174), (14, 0.016269749), (22, 0.13873455), (28, 0.050814874), (35, 0.17507713)]"
68,68,17.0,0.29146817326545715,"[(0, 0.13027973), (1, 0.103332296), (12, 0.06492833), (13, 0.09679568), (17, 0.29146817), (18, 0.034031447), (20, 0.032687515), (29, 0.0907641), (35, 0.1432106)]"
69,69,24.0,0.5247431993484497,"[(1, 0.19949938), (13, 0.020975173), (17, 0.16800214), (24, 0.5247432), (29, 0.031187482), (38, 0.0401348)]"
70,70,24.0,0.3870624601840973,"[(0, 0.030025555), (5, 0.01582864), (13, 0.12131662), (17, 0.16260101), (21, 0.037181552), (24, 0.38706246), (28, 0.043691896), (29, 0.054227926), (31, 0.049957648), (36, 0.014956236), (38, 0.05693747), (39, 0.016206218)]"
71,71,8.0,0.9127750396728516,"[(0, 0.040706128), (8, 0.9127751), (26, 0.01598609), (36, 0.017488196)]"
72,72,4.0,0.21074871718883514,"[(3, 0.075113915), (4, 0.21074872), (5, 0.029395707), (12, 0.19564769), (17, 0.17605549), (19, 0.20449081), (26, 0.030340444), (29, 0.028708432), (35, 0.013974867), (39, 0.026027435)]"
73,73,18.0,0.20266345143318176,"[(10, 0.030091394), (13, 0.17833288), (17, 0.19007404), (18, 0.20266345), (23, 0.0443696), (24, 0.029353846), (30, 0.15661152), (31, 0.124258146), (39, 0.035228223)]"
74,74,33.0,0.34347522258758545,"[(1, 0.01966808), (17, 0.1999305), (19, 0.02182904), (23, 0.04238444), (24, 0.023624932), (33, 0.34347522), (37, 0.026475023), (38, 0.26100066), (39, 0.046704803)]"
75,75,13.0,0.4209948778152466,"[(12, 0.031038376), (13, 0.42099488), (17, 0.07735412), (21, 0.091679335), (24, 0.07968606), (33, 0.27348533)]"
76,76,31.0,0.7520345449447632,"[(6, 0.0482423), (17, 0.12105939), (23, 0.016449746), (31, 0.75203454), (33, 0.01781417), (37, 0.03151999)]"
77,77,4.0,0.23382796347141266,"[(1, 0.03481241), (4, 0.23382796), (6, 0.097864054), (11, 0.060879342), (16, 0.070359126), (17, 0.10899927), (18, 0.013161547), (20, 0.07361964), (25, 0.020498058), (26, 0.022460833), (27, 0.08377114), (28, 0.08000827), (29, 0.03605767), (33, 0.020504372), (36, 0.030671)]"
78,78,36.0,0.9569883942604065,"[(4, 0.033317026), (36, 0.95698845)]"
79,79,37.0,0.7030446529388428,"[(31, 0.25013512), (37, 0.70304465), (38, 0.032134548)]"
80,80,28.0,0.40780115127563477,"[(14, 0.06734364), (15, 0.08113405), (17, 0.020041285), (19, 0.016420439), (20, 0.106494695), (21, 0.11028247), (28, 0.40780115), (31, 0.12116928), (32, 0.05807943)]"
81,81,28.0,0.39791783690452576,"[(7, 0.052451547), (12, 0.17573182), (14, 0.09305752), (15, 0.120098606), (22, 0.06503634), (28, 0.39791784), (31, 0.016164668), (37, 0.06472605)]"
82,82,16.0,0.2922569513320923,"[(4, 0.07648177), (5, 0.123619944), (9, 0.028422248), (14, 0.121610425), (16, 0.29225695), (17, 0.099756226), (18, 0.03499258), (24, 0.01857576), (27, 0.1031959), (34, 0.089176126)]"
83,83,4.0,0.2739647924900055,"[(3, 0.15434816), (4, 0.2739648), (11, 0.036330286), (12, 0.19702783), (15, 0.2694591), (22, 0.02762161), (30, 0.030391302)]"
84,84,24.0,0.40896305441856384,"[(0, 0.02965799), (1, 0.07436317), (2, 0.086813316), (13, 0.16857792), (16, 0.014708411), (21, 0.07905362), (23, 0.01456003), (24, 0.40896305), (29, 0.050105646), (35, 0.030578876), (38, 0.03377364)]"
85,85,13.0,0.19918577373027802,"[(13, 0.19918577), (17, 0.19700284), (22, 0.17549421), (24, 0.1544663), (29, 0.031023305), (31, 0.041511707), (32, 0.061389845), (39, 0.12798339)]"
86,86,12.0,0.211838960647583,"[(0, 0.0891964), (2, 0.04823387), (9, 0.024410587), (12, 0.21183896), (16, 0.04633411), (17, 0.029572444), (19, 0.054230068), (20, 0.09451803), (26, 0.025451042), (28, 0.04405029), (31, 0.14093173), (33, 0.17455806)]"
87,87,39.0,0.7812370657920837,"[(5, 0.042418312), (6, 0.042183418), (10, 0.021350767), (24, 0.030695925), (30, 0.06440394), (39, 0.78123707)]"
88,88,18.0,0.4383007287979126,"[(3, 0.056709908), (5, 0.031998493), (7, 0.03390377), (11, 0.2238264), (12, 0.1304757), (18, 0.4383007), (34, 0.027736848), (39, 0.032039914)]"
89,89,35.0,0.4890008568763733,"[(2, 0.07238452), (12, 0.058138363), (17, 0.08748413), (20, 0.061694343), (26, 0.061041456), (30, 0.030490229), (35, 0.48900086), (39, 0.11623264)]"
90,90,0.0,0.2961020767688751,"[(0, 0.29610208), (13, 0.16856371), (14, 0.044538464), (17, 0.114375606), (25, 0.06546818), (29, 0.10006407), (30, 0.17500424)]"
91,91,19.0,0.9140182137489319,"[(6, 0.047263503), (17, 0.02426375), (19, 0.91401815)]"
